Mobile_Name,Memory,Screen_Size,Camera,Battery,Processor,Warranty,Rating & Reviews,Selling_Price,Discount
SAREGAMA Carvaan Keypad phone Telugu M21,32 MB RAM | 8 GB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2500 mAh Battery,One Year domestic warranty against manufacturing defects,One Year domestic warranty against manufacturing defects,6 Ratings&2 Reviews,"₹2,490",N/A
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",6 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,4700 mAh Lithium Battery,Qualcomm Snapdragon 778G 5G Mobile Platform Processor,1 Year Handset and 6 Months Accessories,"9,141 Ratings&868 Reviews","₹23,999",17% off
"Vox King Talking, Contact icon and Auto Call Recording",32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,672 Ratings&57 Reviews,₹904,N/A
Nokia 110,4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,0.08MP Rear Camera,800 mAh Lithium Ion Battery,Unisoc 6531E Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase,116 Ratings&6 Reviews,"₹2,086",5% off
itel iPower 430 Triple sim,8 MB RAM | 8 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2500 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),81 Ratings&4 Reviews,"₹1,599",15% off
Snexian Guru 313,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1MP Rear Camera,850 mAh Battery,3 Months Warranty,3 Months Warranty,653 Ratings&60 Reviews,₹699,30% off
MU M230 Pro,32 MB RAM | 32 MB ROM,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,3000 mAh Battery,1 Year Domestic Warranty,1 Year Domestic Warranty,10 Ratings&1 Reviews,"₹1,499",25% off
"REDMI Note 11S (Horizon Blue, 128 GB)",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,108MP Rear Camera,5000 mAh Battery,1 Year Warranty,1 Year Warranty,"1,411 Ratings&117 Reviews","₹16,390",25% off
"Infinix Note 12 Pro (Tuscany Blue, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,108MP + 2MP Depth Lens + AI lens | 16MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Helio G99 Processor,1 Year on Handset and 6 Months on Accessories,"5,932 Ratings&604 Reviews","₹16,999",22% off
"REDMI Note 11S (Space Black, 128 GB)",6 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,108MP Rear Camera,5000 mAh Battery,1 Year Warranty,1 Year Warranty,"3,739 Ratings&287 Reviews","₹16,350",22% off
GFive U106 Combo of Two,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,950 mAh Battery,1 Year Manufacturer warranty.,1 Year Manufacturer warranty.,698 Ratings&56 Reviews,"₹1,399",29% off
Kechaoda K33,32 MB RAM | 32 MB ROM,3.56 cm (1.4 inch) Display,0.3MP Rear Camera,800 mAh Battery,1 Year Warranty,1 Year Warranty,"8,893 Ratings&577 Reviews","₹1,120",29% off
"itel P40 (Force Black, 64 GB)",4 GB RAM | 64 GB ROM,16.76 cm (6.6 inch) Display,13MP Rear Camera,6000 mAh Battery,"One Time Screen Replacement Within 100 Days of Purchase, 1 Year Warranty on Mobile Device & 6 Months on Accessories","One Time Screen Replacement Within 100 Days of Purchase, 1 Year Warranty on Mobile Device & 6 Months on Accessories",79 Ratings&5 Reviews,"₹7,599",14% off
"Vox King Talking, Contact icon and Auto Call Recording",32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,2500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,672 Ratings&57 Reviews,₹899,N/A
KARBONN K310i,10 MB RAM | 10 MB ROM,4.57 cm (1.8 inch) NA Display,800 mAh Battery,1 Year Warranty,N/A,1 Year Warranty,363 Ratings&27 Reviews,₹970,18% off
